suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
PP_3355	PP_3355	Q88HK1	Q88HK1_PSEPK	PP_3355	PP_3355	Beta-ketothiolase	unreviewed	1.0		GO:0003985; GO:0006635	kegg:ppu00900	Terpenoid backbone biosynthesis	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/PP_3355	PRESENT	genes/PSEPK/PP_3355/PP_3355-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_3355/PP_3355-deep-research-asta.md
PP_3394	PP_3394	Q88HG4	Q88HG4_PSEPK	PP_3394	PP_3394	3-hydroxy-3-methylglutaryl-CoA lyase	unreviewed	1.0		GO:0004419; GO:0006552; GO:0046872; GO:0046912; GO:0046951	kegg:ppu00907	Pinene, camphor and geraniol degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/PP_3394	PRESENT	genes/PSEPK/PP_3394/PP_3394-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_3394/PP_3394-deep-research-asta.md
mvaB	PP_3540	Q88H25	Q88H25_PSEPK	mvaB	mvaB PP_3540	hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	unreviewed	2.0	4.1.3.4	GO:0004419; GO:0006552; GO:0046872; GO:0046951	kegg:ppu00907	Pinene, camphor and geraniol degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/mvaB	PRESENT	genes/PSEPK/mvaB/mvaB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/mvaB/mvaB-deep-research-asta.md
bktB	PP_3754	Q88GH0	Q88GH0_PSEPK	bktB	bktB PP_3754	Beta-ketothiolase BktB (EC 2.3.1.16, EC 2.3.1.9)	unreviewed	2.0	2.3.1.16; 2.3.1.9	GO:0003985; GO:0033812; GO:0044281	kegg:ppu00900	Terpenoid backbone biosynthesis	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/bktB	PRESENT	genes/PSEPK/bktB/bktB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/bktB/bktB-deep-research-asta.md
hbd	PP_3755	Q88GG9	Q88GG9_PSEPK	hbd	hbd PP_3755	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	unreviewed	1.0	1.1.1.157	GO:0006631; GO:0008691; GO:0070403	kegg:ppu00360	Phenylalanine metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/hbd	PRESENT	genes/PSEPK/hbd/hbd-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hbd/hbd-deep-research-asta.md
maiA	PP_3942	Q88FY4	MAIA_PSEPK	maiA	maiA nicE PP_3942	Maleate isomerase (EC 5.2.1.1) (Maleate cis-trans isomerase) (Nicotinate degradation protein E)	reviewed	3.0	5.2.1.1	GO:0050076; GO:0051289	kegg:ppu00760	Nicotinate and nicotinamide metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/maiA	PRESENT	genes/PSEPK/maiA/maiA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/maiA/maiA-deep-research-asta.md
sdhB	PP_4190	Q88FA8	Q88FA8_PSEPK	sdhB	sdhB PP_4190	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	unreviewed	3.0	1.3.5.1	GO:0006099; GO:0008177; GO:0009055; GO:0022904; GO:0046872; GO:0051537; GO:0051538; GO:0051539	kegg:ppu00020	Citrate cycle (TCA cycle)	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/sdhB	PRESENT	genes/PSEPK/sdhB/sdhB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/sdhB/sdhB-deep-research-asta.md
sdhA	PP_4191	Q88FA7	Q88FA7_PSEPK	sdhA	sdhA PP_4191	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	unreviewed	3.0	1.3.5.1	GO:0005886; GO:0006099; GO:0008177; GO:0009055; GO:0009061; GO:0022900; GO:0050660	kegg:ppu00020	Citrate cycle (TCA cycle)	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/sdhA	PRESENT	genes/PSEPK/sdhA/sdhA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/sdhA/sdhA-deep-research-asta.md
sdhD	PP_4192	Q88FA6	Q88FA6_PSEPK	sdhD	sdhD PP_4192	Succinate dehydrogenase hydrophobic membrane anchor subunit	unreviewed	2.0		GO:0005886; GO:0006099; GO:0009055; GO:0017004; GO:0020037; GO:0046872	kegg:ppu00020	Citrate cycle (TCA cycle)	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/sdhD	PRESENT	genes/PSEPK/sdhD/sdhD-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/sdhD/sdhD-deep-research-asta.md
sdhC	PP_4193	Q88FA5	Q88FA5_PSEPK	sdhC	sdhC PP_4193	Succinate dehydrogenase cytochrome b556 subunit	unreviewed	2.0		GO:0005886; GO:0006099; GO:0009055; GO:0016491; GO:0046872	kegg:ppu00020	Citrate cycle (TCA cycle)	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/sdhC	PRESENT	genes/PSEPK/sdhC/sdhC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/sdhC/sdhC-deep-research-asta.md
gabD-II	PP_4422	Q88EN2	Q88EN2_PSEPK	gabD-II	gabD-II PP_4422	Succinate-semialdehyde dehydrogenase (NADP+) (EC 1.2.1.79)	unreviewed	1.0	1.2.1.79	GO:0004777; GO:0009450; GO:0036243	kegg:ppu00350	Tyrosine metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/gabD-II	PRESENT	genes/PSEPK/gabD-II/gabD-II-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/gabD-II/gabD-II-deep-research-asta.md
fabV	PP_4635	Q88E33	FABV_PSEPK	fabV	fabV PP_4635	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	reviewed	3.0	1.3.1.9	GO:0004318; GO:0006633; GO:0050343; GO:0051287	kegg:ppu00061	Fatty acid biosynthesis	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/fabV	PRESENT	genes/PSEPK/fabV/fabV-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/fabV/fabV-deep-research-asta.md
yqeF	PP_4636	Q88E32	Q88E32_PSEPK	yqeF	yqeF PP_4636	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	unreviewed	2.0	2.3.1.9	GO:0003985; GO:0033812; GO:0044281	kegg:ppu00900	Terpenoid backbone biosynthesis	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/yqeF	PRESENT	genes/PSEPK/yqeF/yqeF-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/yqeF/yqeF-deep-research-asta.md
ilvH	PP_4679	Q88DY9	Q88DY9_PSEPK	ilvH	ilvH PP_4679	Acetolactate synthase small subunit (AHAS) (ALS) (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit)	unreviewed	3.0	2.2.1.6	GO:0003984; GO:0005829; GO:0009097; GO:0009099; GO:1990610	kegg:ppu00660	C5-Branched dibasic acid metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/ilvH	PRESENT	genes/PSEPK/ilvH/ilvH-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ilvH/ilvH-deep-research-asta.md
ilvI	PP_4680	Q88DY8	Q88DY8_PSEPK	ilvI	ilvI PP_4680	Acetolactate synthase (EC 2.2.1.6)	unreviewed	3.0	2.2.1.6	GO:0000287; GO:0003984; GO:0005948; GO:0009097; GO:0009099; GO:0030976; GO:0050660	kegg:ppu00660	C5-Branched dibasic acid metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/ilvI	PRESENT	genes/PSEPK/ilvI/ilvI-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ilvI/ilvI-deep-research-asta.md
phaA	PP_5003	Q88D25	Q88D25_PSEPK	phaA	phaA PP_5003	Poly(3-hydroxyalkanoate) polymerase 1 (EC 2.3.1.-)	unreviewed	1.0	2.3.1.-	GO:0016746; GO:0042619	kegg:ppu00650	Butanoate metabolism	true	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/phaA	PRESENT	genes/PSEPK/phaA/phaA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/phaA/phaA-deep-research-asta.md
phaC-II	PP_5005	Q88D23	Q88D23_PSEPK	phaC-II	phaC-II PP_5005	Poly(3-hydroxyalkanoate) polymerase 2 (EC 2.3.1.-)	unreviewed	1.0	2.3.1.-	GO:0016746; GO:0042619	kegg:ppu00650	Butanoate metabolism	true	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/phaC	PRESENT	genes/PSEPK/phaC/phaC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/phaC/phaC-deep-research-asta.md
