Q3C1V8	BSX
Q3KNS6	ZNF829
Q3KNW1	SNAI3
Q3KP31	ZNF791
Q3KQV3	ZNF792
Q3MIS6	ZNF528
Q3MJ62	ZSCAN23
Q3SXZ3	ZNF718
Q3SY52	ZIK1
Q3SY56	SP6
Q3SYB3	FOXD4L6
Q3ZCT1	ZNF260
Q3ZCX4	ZNF568
Q494X3	ZNF404
Q499Z4	ZNF672
Q49A33	ZNF876P
Q49AA0	ZFP69
Q4G112	HSF5
Q53GI3	ZNF394
Q5CZA5	ZNF805
Q5EBL2	ZNF628
Q5EBM4	ZNF542P
Q5FWF6	ZNF789
Q5H9I0	TFDP3
Q5HY98	ZNF766
Q5HYK9	ZNF667
Q5HYR2	DMRTC1
Q5JNZ3	ZNF311
Q5JT82	KLF17
Q5JUK2	SOHLH1
Q5JUW0	KRABD4
Q5JVG8	ZNF506
Q5MCW4	ZNF569
Q5SQQ9	VAX1
Q5SVQ8	ZBTB41
Q5SXM1	ZNF678
Q5T0B9	ZNF362
Q5T0F9	CC2D1B
Q5T1R4	HIVEP3
Q5T5D7	ZNF684
Q5T619	ZNF648
Q5TA89	HES5
Q5TC79	ZBTB37
Q5TEC3	ZNF697
Q5TGS1	HES3
Q5TGY3	AHDC1
Q5VIY5	ZNF468
Q5VTD9	GFI1B
Q5VV16	FOXD4L5
Q5VV52	ZNF691
Q5VYV0	FOXB2
Q5VZB9	DMRTA1
Q5XKR4	OTP
Q63HK3	ZKSCAN2
Q63HK5	TSHZ3
Q66K89	E4F1
Q68CJ9	CREB3L3
Q68DE3	USF3
Q68DI1	ZNF776
Q68DY1	ZNF626
Q68DY9	ZNF772
Q68EA5	ZNF57
Q68G74	LHX8
Q6AHZ1	ZNF518A
Q6AW86	ZNF324B
Q6AZW8	ZNF660
Q6BEB4	SP5
Q6DD87	ZNF787
Q6DJT9	PLAG1
Q6ECI4	ZNF470
Q6EKJ0	GTF2IRD2B
Q6IQ32	ADNP2
Q6ISB3	GRHL2
Q6IV72	ZNF425
Q6N043	ZNF280D
Q6NSW7	NANOGP8
Q6NSZ9	ZSCAN25
Q6NUN9	ZNF746
Q6NX45	ZNF774
Q6P1L6	ZNF343
Q6P1N0	CC2D1A
Q6P280	ZNF529
Q6P2D0	ZFP1
Q6P9A1	ZNF530
Q6P9A3	ZNF549
Q6P9G9	ZNF449
Q6PDB4	ZNF880
Q6PF04	ZNF613
Q6PG37	ZNF790
Q6PIV2	FOXR1
Q6PJQ5	FOXR2
Q6PK81	ZNF773
Q6QHK4	FIGLA
Q6RFH8	DUX4L9
Q6U7Q0	ZNF322
Q6V9R5	ZNF562
Q6VB84	FOXD4L3
Q6VUC0	TFAP2E
Q6XD76	ASCL4
Q6XYB7	LBX2
Q6ZMS4	ZNF852
Q6ZMS7	ZNF783
Q6ZMV8	ZNF730
Q6ZMY9	ZNF517
Q6ZN06	ZNF813
Q6ZN08	ZNF66
Q6ZN11	ZNF793
Q6ZN32	ETV3L
Q6ZN57	ZFP2
Q6ZN79	ZNF705A
Q6ZNB6	NFXL1
Q6ZNC4	ZNF704
Q6ZNG0	ZNF620
Q6ZNG2	DBX2
Q6ZNH5	ZNF497
Q6ZQN5	FOXI2
Q6ZR52	ZNF493
Q6ZRF7	ZNF818P
Q6ZS27	ZNF662
Q6ZSB9	ZBTB49
Q6ZSS3	ZNF621
Q6ZSZ6	TSHZ1
Q6ZT77	ZNF826P
Q6ZTB9	ZNF833P
Q6ZV50	RFX8
Q6ZVD7	STOX1
Q70SY1	CREB3L2
Q76KX8	ZNF534
Q7L2R6	ZNF765
Q7L3S4	ZNF771
Q7L945	ZNF627
Q7RTS1	BHLHA15
Q7RTS3	PTF1A
Q7RTU0	TCF24
Q7RTU1	TCF23
Q7RTU3	OLIG3
Q7RTU4	BHLHA9
Q7RTU5	ASCL5
Q7RTU7	SCX
Q7RTV3	ZNF367
Q7Z2F6	KRABD5
Q7Z340	ZNF551
Q7Z353	HDX
Q7Z398	ZNF550
Q7Z3H4	SAMD7
Q7Z3I7	ZNF572
Q7Z3K3	POGZ
Q7Z3V5	ZNF571
Q7Z4V0	ZNF438
Q7Z5D8	NANOGNB
Q7Z6R9	TFAP2D
Q7Z7K2	ZNF467
Q7Z7L9	ZSCAN2
Q86T24	ZBTB33
Q86TJ5	ZNF554
Q86UD4	ZNF329
Q86UE3	ZNF546
Q86UP3	ZFHX4
